+-----------------------------------------------------------------+---------+
| plugin                                                          | CountOf |
| [bring-back-the-get-shortlink-button]                           |       4 |
| [bwp-google-xml-sitemaps]                                       |       4 |
| [bwp-minify]                                                    |       4 |
| [capability-manager-enhanced]                                   |       4 |
| [custom-admin-bar]                                              |       4 |
| [crazyegg-heatmap-tracking]                                     |       4 |
| [defender-security]                                             |       4 |
| [database-for-wpforms]                                          |       4 |
| [default-featured-image]                                        |       4 |
| [embedly]                                                       |       4 |
| [events-calendar-pro]                                           |       4 |
| [export-featured-images]                                        |       4 |
| [eps-301-redirects]                                             |       4 |
| [cf7-salesforce]                                                |       4 |
| [fast-velocity-minify]                                          |       4 |
| [featured-video-plus]                                           |       4 |
| [ga-google-analytics]                                           |       4 |
| [getty-images]                                                  |       4 |
| [export-users-to-csv]                                           |       4 |
| [gravity-forms-email-blacklist]                                 |       4 |
| [import-xml-feed]                                               |       4 |
| [iframely]                                                      |       4 |
| [last-modified-timestamp]                                       |       4 |
| [jsm-force-ssl]                                                 |       4 |
| [jonradio-private-site]                                         |       4 |
| [login-or-logout-menu-item]                                     |       4 |
| [font-awesome]                                                  |       4 |
| [image-widget]                                                  |       4 |
| [map-categories-to-pages]                                       |       4 |
| [media-tools]                                                   |       4 |
| [ml-slider]                                                     |       4 |
| [movabletype-importer]                                          |       4 |
| [publishpress-checklists]                                       |       4 |
| [one-click-demo-import]                                         |       4 |
| [open-in-new-window-plugin]                                     |       4 |
| [health-check]                                                  |       4 |
| [powerpress]                                                    |       4 |
| [post-smtp]                                                     |       4 |
| [really-simple-captcha]                                         |       4 |
| [redux-framework]                                               |       4 |
| [quick-pagepost-redirect-plugin]                                |       4 |
| [sendpress]                                                     |       4 |
| [multisite-clone-duplicator]                                    |       4 |
| [show-current-template]                                         |       4 |
| [revisionize]                                                   |       4 |
| [rocket-lazy-load]                                              |       4 |
| [unbounce]                                                      |       4 |
| [unconfirmed]                                                   |       4 |
| [user-switching]                                                |       4 |
| [widget-shortcode]                                              |       4 |
| [wp-accessibility]                                              |       4 |
| [wp-exporter]                                                   |       4 |
| [post-type-converter]                                           |       4 |
| [wp-security-audit-log]                                         |       4 |
| [multisite-custom-css]                                          |       4 |
| [options-importer]                                              |       4 |
| [redirect-after-login]                                          |       4 |
| [varnish-http-purge]                                            |       4 |
| [unlist-posts]                                                  |       4 |
| [vaultpress]                                                    |       4 |
| [woocommerce-gateway-amazon-payments-advanced]                  |       4 |
| [add-multiple-users]                                            |       3 |
| [acf-better-search]                                             |       3 |
| [acf-options-for-polylang]                                      |       3 |
| [adminimize]                                                    |       3 |
| [addons-for-elementor]                                          |       3 |
| [advanced-cron-manager]                                         |       3 |
| [advanced-random-posts-widget]                                  |       3 |
| [agreeable]                                                     |       3 |
| [aptivada-for-wp]                                               |       3 |
| [autodescription]                                               |       3 |
| [advanced-image-styles]                                         |       3 |
| [backwpup]                                                      |       3 |
| [attachment-pages-redirect]                                     |       3 |
| [check-email]                                                   |       3 |
| [comments-ratings]                                              |       3 |
| [constant-contact-forms]                                        |       3 |
| [custom-post-type-widgets]                                      |       3 |
| [content-widget]                                                |       3 |
| [custom-sidebars]                                               |       3 |
| [custom-stock-widget]                                           |       3 |
| [disable-feeds]                                                 |       3 |
| [disable-users]                                                 |       3 |
| [disable-wordpress-updates]                                     |       3 |
| [ditty-news-ticker]                                             |       3 |
| [duplicate-widgets]                                             |       3 |
| [customizer-export-import]                                      |       3 |
| [facebook]                                                      |       3 |
| [facebook-comments-plugin]                                      |       3 |
| [filebird]                                                      |       3 |
| [export-media-urls]                                             |       3 |
| [hierarchical-html-sitemap]                                     |       3 |
| [give]                                                          |       3 |
| [google-cse]                                                    |       3 |
| [heartbeat-control]                                             |       3 |
| [hide-title]                                                    |       3 |
| [hot-or-not]                                                    |       3 |
| [internet-explorer-alert]                                       |       3 |
| [json-api]                                                      |       3 |
| [export-media-with-selected-content]                            |       3 |
| [instagram-slider-widget]                                       |       3 |
| [kirki]                                                         |       3 |
| [heyoya-voice-comments-reviews]                                 |       3 |
| [learnpress]                                                    |       3 |
| [mapping-multiple-urls-redirect-same-page]                      |       3 |
| [media-from-ftp]                                                |       3 |
| [phoenix-media-rename]                                          |       3 |
| [menu-icons]                                                    |       3 |
| [loginizer]                                                     |       3 |
| [per-page-add-to]                                               |       3 |
| [mtphr-members]                                                 |       3 |
| [multisite-auditor]                                             |       3 |
| [nextend-facebook-connect]                                      |       3 |
| [option-tree]                                                   |       3 |
| [page-scroll-to-id]                                             |       3 |
| [plugin-grouper]                                                |       3 |
| [protect-the-children]                                          |       3 |
| [network-plugin-auditor]                                        |       3 |
